time,callsign,parameter,x,y,maneuvering_time,maneuvering_parameter,time_offset,condition,WTC,flight level,head,velocity,cas,heading,altitude,drct,sknt,skyl1,distance_to_changi,bearing_to_changi,is_peakhour,is_planroute,num_planroute,nearest_wp,nearest_wp_dist_km,num_other_plane,duration
15994,BAV0307,10000,104.1059332,1.830734219,16008,3000,14,,1,1,0,0,227.2831921,179.3137967,13000.0,180.0,5,1800,54.28334406,193.9757602,0,True,9.0,PASPU,17.33476693,16,10.11199999999917
16018,TGW609,220,104.1822789,1.639846768,16027,230,9,,1,0,0,1,264.6577118,55.62469409,7525.0,180.0,5,1800,38.1514799,214.4774448,0,False,,NYLON,8.822788799,16,3.2160000000003492
16142,SIA935,220,104.8595104,0.743442792,16177,220,35,,1,0,0,1,262.9226329,291.3221238,22825.0,180.0,5,1800,118.5006371,305.1580252,0,True,5.0,IKIMA,6.84696004,18,6.399999999999636
16153,CPA759,11000,104.1925754,2.02359234,16174,14500,21,,2,1,0,0,209.7095237,1.123771014,14975.0,180.0,5,1800,77.53082154,197.0572414,0,False,,PASPU,10.52862676,18,5.536000000000058
16173,TGW609,200,104.2124491,1.819144981,16177,230,4,,1,0,1,0,229.7361697,3.413308281,7062.5,180.0,5,1800,57.12394278,205.8989205,0,False,,PASPU,22.12388263,18,7.199999999998909
16173,TGW609,5000,104.2124491,1.819144981,16196,3000,23,,1,1,0,0,229.7361697,3.413308281,7062.5,180.0,5,1800,57.12394278,205.8989205,0,False,,PASPU,22.12388263,18,7.199999999998909
16185,BAV0307,180,104.1963841,1.923385598,16187,175,2,,1,0,1,0,217.5847113,3.403256012,9575.0,180.0,5,1800,67.10322689,200.1950053,0,False,,PASPU,12.39466099,17,3.7119999999995343
16362,PAL507,8000,104.3947374,1.204168182,16385,8500,23,,1,1,0,0,206.4850485,304.1205834,9075.0,180.0,5,1800,48.30394525,290.6029125,0,True,6.0,RUVIK,7.001043767,17,3.7440000000005966
16447,CAL753,9000,104.1051418,2.169341985,16467,2500,20,,2,1,0,0,221.6883547,179.8305135,16000.0,180.0,5,1800,91.26174023,188.2036741,0,True,9.0,PASPU,20.10731774,17,4.074660000002041
16455,CTV510,9000,104.3815769,1.212546062,16468,9000,13,,1,1,0,0,198.7964986,307.5146587,10050.0,180.0,5,1800,46.60802165,290.1635704,0,True,6.0,RUVIK,5.26881701,17,3.2960000000020955
16533,CAL753,200,104.1050952,2.068816982,16540,195,7,,2,0,1,0,200.2826655,180.4436726,14975.0,180.0,5,1800,80.21326976,189.3393082,0,True,9.0,PASPU,8.991685738,17,4.170669999999518
16550,SIA935,270,104.4811643,1.104824189,16561,270,11,,1,0,1,0,225.9141814,334.8981839,14400.0,180.0,5,1800,61.5794089,297.0930811,0,True,5.0,LAVAX,7.202097513,17,4.170659999999771
16577,MMA231,11000,104.1051193,2.319325581,16592,9000,15,,1,1,0,0,233.9456033,179.758536,17000.0,180.0,5,1800,107.7944643,186.9374507,0,True,9.0,PIBAP,20.68476238,17,8.191999999999098
16610,CTV510,8000,104.2480989,1.303953734,16629,2500,19,,1,1,0,0,192.2667073,304.5107183,9075.0,180.0,5,1800,29.50939611,281.533214,0,True,6.0,DOVAN,4.620748935,17,4.416000000001077
16843,SIA935,360,104.2347295,1.277160645,16848,360,5,,1,0,1,0,227.3657287,336.9855515,8775.0,180.0,5,1800,28.82879322,287.9383384,0,False,,DOVAN,6.013831484,20,4.608000000000175
16866,CPA2073,140,104.1051884,2.243545465,16872,140,6,,2,0,1,0,235.2114714,180.0,16275.0,180.0,5,1800,99.43600669,187.5282564,0,True,9.0,PASPU,28.31243751,20,5.824000000000524
16885,SIA153,220,104.1052814,2.464599553,16920,220,35,,1,0,0,1,255.9318214,180.4022721,18725.0,180.0,5,1800,123.8471889,186.0431216,0,True,9.0,PIBAP,4.621018797,19,6.463999999999942
16905,SIA935,6000,104.2312519,1.348251253,16921,6000,16,,1,1,0,0,228.4728725,4.340033302,8050.0,180.0,5,1800,27.05833337,272.0632418,0,False,,DOVAN,3.043225078,19,4.399999999997817
16947,CPA2073,175,104.1594354,2.150853015,16957,170,10,,2,0,1,0,240.5496346,138.5234116,14350.0,180.0,5,1800,90.30539062,192.1832803,0,False,,PASPU,19.05098953,19,7.680000000000291
17013,MMA231,8000,104.1369891,2.042246517,17032,6500,19,,1,1,0,0,196.9337978,239.9350596,9050.0,180.0,5,1800,77.97458495,192.2636212,0,False,,PASPU,7.02222748,18,3.7120000000031723
17114,SIA153,175,104.16012,2.165084817,17121,175,7,,1,0,1,0,241.0221692,137.1235454,13575.0,160.0,5,1800,91.86867341,192.0214028,0,False,,PASPU,20.57171511,17,4.943999999999505
17193,CPA2073,200,104.2221275,1.841491554,17232,210,39,,2,0,0,1,233.5358353,171.6435107,9650.0,160.0,5,1800,59.8291461,205.7864855,0,False,,PASPU,20.74790463,18,4.671999999998661
17277,TGW265,360,104.831543,0.753587577,17284,310,7,,1,0,1,0,238.3845527,291.5869099,19675.0,160.0,5,1800,115.3120554,305.589066,0,True,5.0,IKIMA,10.1547575,19,4.80000000000291
17336,SIA153,150,104.105072,1.941973139,17339,150,3,,1,0,1,0,232.0948357,180.0,9000.0,160.0,5,1800,66.33482916,191.3143872,0,True,9.0,PASPU,5.03416548,18,10.623999999999796
17789,TGW265,9000,104.4034951,1.154251099,17811,9500,22,,1,1,0,0,202.536914,191.8394246,10050.0,160.0,5,1800,51.39806933,296.0208256,0,True,4.0,LAVAX,5.709018806,18,4.064000000002125
18107,TGW281,220,104.5743587,0.965726171,18156,230,49,,2,0,0,1,277.1238039,328.8400873,15975.0,160.0,5,1800,78.37224438,303.7260519,0,False,,IBULA,13.8311955,15,4.096000000001368
18157,TGW265,4000,104.3307652,1.247553416,18175,2500,18,,1,1,0,0,220.8049046,304.0226236,8075.0,160.0,5,1800,40.00017313,287.716666,0,True,6.0,RUVIK,1.58418121,15,5.04320000000007
18157,TGW265,325,104.3307652,1.247553416,18164,330,7,,1,0,1,0,220.8049046,304.0226236,8075.0,160.0,5,1800,40.00017313,287.716666,0,True,6.0,RUVIK,1.58418121,15,5.04320000000007
18261,SJX731,220,104.1052814,2.256545965,18299,230,38,,2,0,0,1,264.5618434,179.5295963,14075.0,160.0,5,1800,100.8706488,187.4265089,0,True,9.0,PIBAP,27.62669753,16,3.8400000000001455
18457,SJX731,200,104.1052613,1.996253002,18495,190,38,,2,0,0,1,228.1504879,180.415351,10625.0,160.0,5,1800,72.26666835,190.3919055,0,True,9.0,PASPU,0.96830507,17,4.032000000002881
18472,TGW281,360,104.2504779,1.302108709,18480,360,8,,2,0,1,0,220.4184399,304.4300949,8425.0,160.0,5,1800,29.80990712,281.8179961,0,True,6.0,DOVAN,4.95431604,17,3.0293300000012096
18603,JSA244,250,104.8155843,0.891195964,18631,250,28,,1,0,0,1,287.5691603,307.2212402,19025.0,160.0,5,1800,105.5826014,299.3852294,0,False,,IKIMA,21.96842761,17,6.65599999999904
18688,JSA244,220,104.7106459,0.97024167,18712,210,24,,1,0,0,1,248.8382583,306.6464668,16575.0,160.0,5,1800,91.12434437,298.1674743,0,False,,IBULA,18.67062386,17,4.09599999999773
19045,JSA244,4000,104.3591885,1.228037831,19074,2500,29,,1,1,0,0,209.0134905,303.6435529,8075.0,170.0,8,1800,43.68446362,289.1674221,0,True,6.0,RUVIK,2.245106371,16,2.815999999998894
19080,JSA244,200,104.3255561,1.250672322,19118,190,38,,1,0,0,1,218.6340481,304.4613942,7900.0,170.0,8,1800,39.34331502,287.4920849,0,True,6.0,RUVIK,2.257742909,16,3.0720000000001164
19167,JSA244,360,104.2509723,1.301647034,19202,340,35,,1,0,1,0,194.3981655,304.5602545,6750.0,170.0,8,1800,29.87424194,281.8927888,0,True,6.0,DOVAN,5.02850945,15,3.2479999999995925
19470,HKC371,220,104.1047404,2.46410301,19501,240,31,,2,0,0,1,259.6491499,180.2115267,14975.0,170.0,8,1800,123.7859672,186.0181282,0,True,9.0,PIBAP,4.675907856,16,7.648000000001048
19524,HKC371,155,104.105072,2.38524355,19537,150,13,,2,0,1,0,259.0402491,180.0,14050.0,170.0,8,1800,115.073355,186.49408,0,True,9.0,PIBAP,13.39580553,17,4.927999999999884
19660,HKC371,240,104.1752959,2.223403919,19665,190,5,,2,0,1,0,244.3675525,152.1893324,10500.0,170.0,8,1800,98.5629095,192.1955512,0,False,,PASPU,27.23222222,17,3.9680000000007567
19762,HKC371,8000,104.1289765,2.128921431,19781,8000,19,,2,1,0,0,221.2539855,208.2004473,9050.0,170.0,8,1800,87.25212892,190.347441,0,False,,PASPU,15.86362857,17,3.2960000000020955
19856,HKC371,7000,104.1095176,2.018966619,19874,7000,18,,2,1,0,0,224.9861303,188.0754439,8050.0,170.0,8,1800,74.83619756,190.3994436,0,True,9.0,PASPU,3.515552606,16,3.1199999999989814
19916,HKC371,200,104.105072,1.947466303,19956,180,40,,2,0,0,1,226.4567817,179.692141,7350.0,170.0,8,1800,66.93387753,191.21181,0,True,9.0,PASPU,4.426756699,16,5.631999999997788
20068,CSC3919,220,104.1049299,2.393948827,20097,230,29,,1,0,0,1,251.4693684,179.6133154,17325.0,170.0,8,1800,116.0334086,186.4322759,0,True,9.0,PIBAP,12.43320907,17,9.280000000002474
20120,CSC3919,150,104.105214,2.319092732,20128,145,8,,1,0,1,0,234.3049653,180.0,16300.0,170.0,8,1800,107.7700339,186.9446693,0,True,9.0,PIBAP,20.71051934,17,3.872000000003027
20237,CSC3919,175,104.1761516,2.179203294,20241,175,4,,1,0,1,0,246.5125245,146.3019977,13300.0,170.0,8,1800,93.78584931,192.8866207,0,False,,PASPU,22.62734629,17,4.3840000000018335
20518,SIA923,250,104.8026564,0.765039437,20538,250,20,,2,0,0,1,296.507909,290.7119093,18975.0,170.0,8,1800,111.962242,306.0152271,0,True,5.0,IKIMA,13.61041254,18,6.101339999997435
20576,VJC915,220,104.105214,2.12501647,20610,230,34,,1,0,0,1,259.1975811,180.0,10375.0,170.0,8,1800,86.38747606,188.6753742,0,True,9.0,PASPU,15.20599937,18,3.4239999999990687
20634,SIA163,150,104.1051884,2.263916004,20646,150,12,,1,0,1,0,238.9104254,180.3057126,16150.0,170.0,8,1800,101.682016,187.3610502,0,True,9.0,PIBAP,26.81173854,17,3.8399999999965075
20746,SIA163,235,104.1694352,2.129560802,20752,235,6,,1,0,1,0,242.4833193,146.5906425,13675.0,160.0,9,1800,88.23988007,193.2133214,0,False,,PASPU,17.26674805,17,3.9679999999971187
20845,SIA163,170,104.1274234,2.034332659,20847,165,2,,1,0,1,0,220.3806809,232.8750703,11625.0,160.0,9,1800,76.89361677,191.6285867,0,False,,PASPU,5.748094942,17,3.8079999999972642
20931,SIA163,155,104.1206436,1.939086914,20937,175,6,,1,0,1,0,222.0043164,166.7296104,10150.0,160.0,9,1800,66.38297967,192.8339576,0,True,9.0,PASPU,5.629115719,18,4.1599999999998545
21026,SIA923,200,104.3395789,1.241729669,21047,200,21,,2,0,0,1,211.8062093,303.9318362,9975.0,160.0,9,1800,41.13180892,288.1607868,0,True,6.0,RUVIK,0.411753726,18,2.99199999999837
21032,SIA923,270,104.3341322,1.245437488,21040,270,8,,2,0,1,0,212.8109542,303.2759146,9875.0,160.0,9,1800,40.42847424,287.8729381,0,True,6.0,RUVIK,1.142991615,18,2.99199999999837
21152,SIA923,15,104.2129102,1.260086037,21156,20,4,,2,0,1,0,192.9717377,270.8800156,9100.0,160.0,9,1800,27.22585067,293.3192142,0,False,,DOVAN,7.423982887,19,3.808000000000902
21191,SIA923,8000,104.1806463,1.27691539,21208,2500,17,,2,1,0,0,179.855499,341.3216423,9100.0,160.0,9,1800,23.19328176,292.5806061,0,True,2.0,DOVAN,6.663523774,19,3.040000000000873
21263,SIA923,355,104.1979204,1.352325361,21269,360,6,,2,0,1,0,203.9788947,19.67704521,8175.0,160.0,9,1800,23.34134805,271.278524,0,True,2.0,DOVAN,3.279356191,20,3.327999999997701
21519,DKH1605,220,104.105072,2.012965176,21534,240,15,,2,0,0,1,262.4092989,179.3606356,11650.0,160.0,9,1800,74.09155561,190.1166937,0,True,9.0,PASPU,2.815839235,20,3.8079999999972642
22224,BBC584,220,104.104614,2.011478646,22233,230,9,,1,0,0,1,255.6726236,179.3363195,12225.0,160.0,9,1800,73.91989397,190.1003469,0,True,9.0,PASPU,2.651801564,17,5.2479999999995925
22591,JSA762,285,104.7326186,1.28470201,22600,285,9,,1,0,1,0,275.8990545,280.8053906,21250.0,170.0,11,1800,83.16526938,275.5556616,0,False,,KEXAS,14.84411075,21,6.336000000002969
22735,JSA762,250,104.5041551,1.348501872,22743,250,8,,1,0,1,0,281.1877945,286.5164894,14512.5,170.0,11,1800,57.38561314,270.9495984,0,False,,HOSBA,11.22294492,21,3.891199999998207
22742,JSA762,220,104.4950867,1.351132113,22759,210,17,,1,0,0,1,275.9921036,283.6840721,14225.0,170.0,11,1800,56.37349906,270.6691559,0,False,,HOSBA,10.29438286,21,3.891199999998207
22757,EVA215,250,104.1050021,1.968749966,22791,230,34,,2,0,0,1,299.1939183,180.0,8950.0,170.0,11,1800,69.25541525,190.8248195,0,True,9.0,PASPU,2.07329625,22,3.359999999996944
